,出发地,目的地,价格,节省,路线名,酒店,房间,去程航司,去程方式,去程时间,回程航司,回程方式,回程时间,酒店评分,酒店等级,天数
197,广州,沈阳,2725,628,广州-沈阳3天2晚 | 入住宜必思酒店沈阳铁西店 + 南方航空/深圳航空往返机票,宜必思酒店沈阳铁西店 舒适型 4.1分/5分,高级双床房(提前3天预... 双床 不含早 1间2晚,南方航空 CZ6384,直飞,08:05-11:45,深圳航空 ZH9652,经停,08:20-13:05,4.1,舒适型,3
198,天津,三亚,2375,574,天津-三亚3天2晚 | 入住三亚湾红树林度假世界木棉酒店 + 首都航空/奥凯航空...,三亚湾红树林度假世界木棉酒店 豪华型 4.4分/5分,观海房（连住3晚及以上... 大/双床 双早 1间2晚,首都航空 JD5196,直飞,20:45-00:45,奥凯航空 BK2832,经停,14:35-20:00,4.4,豪华型,3
199,重庆,丽江,1146,358,重庆-丽江3天2晚 | 入住丽江泸沽湖永珍酒店 + 四川航空/南方航空往返机票,丽江泸沽湖永珍酒店 经济型 4.5分/5分,普通间（公共卫浴）-不... 双床 不含早 1间2晚,四川航空 3U8679,直飞,08:25-10:15,南方航空 CZ6292,直飞,12:50-14:30,4.5,经济型,3
200,西安,沈阳,1345,394,西安-沈阳3天2晚 | 入住沈阳玫瑰大酒店 + 春秋航空往返机票,沈阳玫瑰大酒店 4.2分/5分,特惠房(双床) 双床 不含早 1间2晚,春秋航空 9C8832,直飞,10:40-13:15,春秋航空 9C8831,直飞,06:50-09:55,4.2,无,3
201,哈尔滨,北海,2281,666,哈尔滨-北海3天2晚 | 入住北海农垦宾馆 + 吉祥航空/春秋航空往返机票,北海农垦宾馆 4.2分/5分,豪华大床房(限时特惠)... 大床 不含早 1间2晚,吉祥航空 HO1667,经停,07:25-14:15,春秋航空 9C8742,直飞,10:20-15:05,4.2,无,3
202,杭州,三亚,1590,412,杭州-三亚3天2晚 | 入住三亚永茂大酒店 + 南方航空/海南航空往返机票,三亚永茂大酒店 舒适型 3.6分/5分,豪华双标房(预付)(双... 双床 不含早 1间2晚,南方航空 CZ6630,直飞,20:45-23:40,海南航空 HU7284,直飞,20:45-23:35,3.6,舒适型,3
203,宁波,桂林,2268,612,宁波-桂林3天2晚 | 入住桂林唯美四季酒店 + 桂林航空有限公司往返机票,桂林唯美四季酒店 舒适型 4.1分/5分,豪华双人房(双床) 双床 不含早 1间2晚,桂林航空有限公司 GT1032,直飞,21:10-23:30,桂林航空有限公司 GT1031,直飞,18:10-20:15,4.1,舒适型,3
204,成都,青岛,1777,486,成都-青岛3天2晚 | 入住胶南弘元国际酒店 + 中国国航/青岛航往返机票,胶南弘元国际酒店 4.6分/5分,商务标准间[双早](双... 双床 双早 1间2晚,中国国航 CA4511,直飞,06:55-09:40,青岛航 QW9771,直飞,06:40-09:40,4.6,无,3
205,厦门,太原,1638,456,厦门-太原3天2晚 | 入住太原富华璟泰大酒店 + 山东航空往返机票,太原富华璟泰大酒店 舒适型 0.0分/5分,商务标准间(限时特惠)... 双床 双早 1间2晚,山东航空 SC4811,直飞,17:45-20:20,山东航空 SC4812,直飞,21:05-23:45,0,舒适型,3
206,杭州,厦门,1148,330,杭州-厦门3天2晚 | 入住厦门兰桂坊花园酒店 + 山东航空往返机票,厦门兰桂坊花园酒店 舒适型 4.1分/5分,商务房(双床)(预付) 双床 不含早 1间2晚,山东航空 SC1174,直飞,22:10-23:45,山东航空 SC8837,直飞,06:50-08:20,4.1,舒适型,3
207,成都,桂林,1465,382,成都-桂林3天2晚 | 入住桂林阳光王朝酒店两江四湖象山公园店 + 中国国航/山...,桂林阳光王朝酒店两江四湖象山公园店 舒适型 4.3分/5分,标准双床房 双床 不含早 1间2晚,中国国航 CA4323,直飞,07:35-09:15,山东航空 SC4763,直飞,08:35-10:15,4.3,舒适型,3
208,武汉,沈阳,1644,420,武汉-沈阳3天2晚 | 入住沈阳人民大厦 + 东方航空往返机票,沈阳人民大厦 4.3分/5分,豪华标间(预付)(双床... 双床 双早 1间2晚,东方航空 MU2545,经停,07:55-11:55,东方航空 MU2546,经停,12:50-17:25,4.3,无,3
209,青岛,长沙,1936,455,青岛-长沙3天2晚 | 入住宁乡紫龙湾温泉国际大酒店 + 青岛航/幸福航空往返机票,宁乡紫龙湾温泉国际大酒店 豪华型 3.9分/5分,精品双人间(双床) 双床 双早 1间2晚,青岛航 QW9775,直飞,06:20-08:40,幸福航空 JR2769,直飞,06:40-09:05,3.9,豪华型,3
210,成都,乌鲁木齐,2526,590,成都-乌鲁木齐3天2晚 | 入住乌鲁木齐如意金元酒店 + 四川航空往返机票,乌鲁木齐如意金元酒店 高档型 4.5分/5分,高级标准间(双人入住)... 双床 双早 1间2晚,四川航空 3U8525,直飞,08:10-11:50,四川航空 3U8842,直飞,22:40-01:50,4.5,高档型,3
211,天津,大理,2394,610,天津-大理3天2晚 | 入住大理古城风铃国际青年旅舍 + 东方航空往返机票,大理古城风铃国际青年旅舍 经济型 4.4分/5分,双人标间 双床 不含早 1间2晚,东方航空 MU5948,直飞,13:55-17:10,东方航空 MU5947,直飞,09:30-12:40,4.4,经济型,3
212,济南,三亚,1619,458,济南-三亚3天2晚 | 入住三亚唯客度假屋酒店 + 西部航空往返机票,三亚唯客度假屋酒店 舒适型 4.1分/5分,市景套房（一房一厅）大... 大床 不含早 1间2晚,西部航空 PN6364,直飞,10:10-13:50,西部航空 PN6363,直飞,14:45-18:25,4.1,舒适型,3
213,上海,青岛,774,356,上海-青岛3天2晚 | 入住青岛海翔商务酒店 + 春秋航空/吉祥航空往返机票,青岛海翔商务酒店 4.5分/5分,大床房 大床 不含早 1间2晚,春秋航空 9C8853,直飞,19:50-21:35,吉祥航空 HO1242,直飞,23:05-00:35,4.5,无,3
214,杭州,张家界,1526,422,杭州-张家界3天2晚 | 入住张家界金玉国际酒店 + 吉祥航空往返机票,张家界金玉国际酒店 3.2分/5分,大床房 大床 不含早 1间2晚,吉祥航空 HO1019,直飞,14:00-15:50,吉祥航空 HO1020,直飞,21:55-23:55,3.2,无,3
215,天津,九寨沟,2230,514,天津-九寨沟3天2晚 | 入住九寨沟风景名胜区管理局贵宾楼饭店 + 天津航空往返...,九寨沟风景名胜区管理局贵宾楼饭店 舒适型 4.1分/5分,标间(限量抢购)(双床) 双床 双早 1间2晚,天津航空 GS7887,直飞,19:10-22:05,天津航空 GS7888,直飞,23:15-01:50,4.1,舒适型,3
216,杭州,西宁,2765,668,杭州-西宁3天2晚 | 入住西宁夏都影视酒店 + 长龙航空往返机票,西宁夏都影视酒店 舒适型 4.1分/5分,豪华套间(大床) 大床 双早 1间2晚,长龙航空 GJ8941,经停,15:00-20:00,长龙航空 GJ8942,经停,11:40-16:20,4.1,舒适型,3
217,青岛,武汉,1336,338,青岛-武汉3天2晚 | 入住武汉银河商务大酒店 + 祥鹏航空往返机票,武汉银河商务大酒店 舒适型 3.8分/5分,标准标间（无窗）(双床) 双床 不含早 1间2晚,祥鹏航空 8L9870,直飞,20:20-22:25,祥鹏航空 8L9869,直飞,17:30-19:30,3.8,舒适型,3
218,天津,厦门,1607,434,天津-厦门3天2晚 | 入住厦门君隆大酒店 + 山东航空/天津航空往返机票,厦门君隆大酒店 4.1分/5分,精致氧吧房 双床 双床 双早 1间2晚,山东航空 SC4802,直飞,21:05-23:50,天津航空 GS7818,经停,13:25-17:50,4.1,无,3
219,沈阳,长沙,1860,484,沈阳-长沙3天2晚 | 入住湖南上城军天酒店 + 海南航空/四川航空往返机票,湖南上城军天酒店 高档型 3.7分/5分,标准双人间(特惠抢购)... 双床 不含早 1间2晚,海南航空 HU7330,经停,19:10-23:40,四川航空 3U8929,直飞,11:00-13:55,3.7,高档型,3
220,成都,泸沽湖,1260,386,成都-泸沽湖3天2晚 | 入住丽江太和园休闲度假酒店 + 成都航空往返机票,丽江太和园休闲度假酒店 高档型 4.4分/5分,太和标准间 双床 不含早 1间2晚,成都航空 EU2237,直飞,19:45-21:20,成都航空 EU2738,直飞,23:30-01:05,4.4,高档型,3
221,大连,哈尔滨,1370,396,大连-哈尔滨3天2晚 | 入住哈尔滨空军蓝天招待所省政府店 + 东方航空往返机票,哈尔滨空军蓝天招待所省政府店 4.3分/5分,标准间(预付)(双床) 双床 双早 1间2晚,东方航空 MU5611,直飞,17:15-18:50,东方航空 MU5612,直飞,19:35-21:15,4.3,无,3
222,北京,乌鲁木齐,2306,600,北京-乌鲁木齐3天2晚 | 入住乌鲁木齐石河子大厦 + 四川航空/中国国航往返机票,乌鲁木齐石河子大厦 4.3分/5分,普通标间[无早](双床) 双床 不含早 1间2晚,四川航空 3U8209,经停,07:55-14:00,中国国航 CA1292,直飞,21:10-00:45,4.3,无,3
223,广州,西安,1494,424,广州-西安3天2晚 | 入住西安君悦尚品酒店 + 东方航空/深圳航空往返机票,西安君悦尚品酒店 舒适型 3.9分/5分,标准间(双床) 双床 双早 1间2晚,东方航空 MU2304,直飞,23:10-01:45,深圳航空 ZH9226,直飞,22:00-00:40,3.9,舒适型,3
224,厦门,九寨沟,2079,510,厦门-九寨沟3天2晚 | 入住阿坝318连锁汽车旅馆红原店 + 中国国航/成都航...,阿坝318连锁汽车旅馆红原店 舒适型 4.0分/5分,豪华标准间-含双早(双... 双床 双早 1间2晚,中国国航 CA4540,直飞,21:25-00:15,成都航空 EU2735,经停,07:30-11:30,4,舒适型,3
225,杭州,三亚,1556,408,杭州-三亚3天2晚 | 入住三亚海棠湾蓝海沙滩海景客栈 + 南方航空/海南航空往...,三亚海棠湾蓝海沙滩海景客栈 舒适型 4.3分/5分,漂流瓶大床房B 大床 不含早 1间2晚,南方航空 CZ6630,直飞,20:45-23:40,海南航空 HU7284,直飞,20:45-23:35,4.3,舒适型,3
226,武汉,重庆,874,334,武汉-重庆3天2晚 | 入住重庆蚬木酒店 + 华夏航空/东方航空往返机票,重庆蚬木酒店 舒适型 3.6分/5分,高级双床房(预付) 双床 双早 1间2晚,华夏航空 G52910,经停,17:55-00:25,东方航空 MU2540,直飞,23:10-00:35,3.6,舒适型,3
227,沈阳,厦门,1755,460,沈阳-厦门3天2晚 | 入住易佰酒店厦门轮渡禾祥西路店 + 海南航空/深圳航空往...,易佰酒店厦门轮渡禾祥西路店 经济型 4.2分/5分,经济房-不含早（预付） 大床 不含早 1间2晚,海南航空 HU7048,直飞,14:15-17:45,深圳航空 ZH9706,经停,09:55-15:10,4.2,经济型,3
228,北京,武汉,1704,494,北京-武汉3天2晚 | 入住武汉安聚缘酒店 + 中国国航/东方航空往返机票,武汉安聚缘酒店 高档型 3.7分/5分,和颐惠选大床房[无早] 大床 不含早 1间2晚,中国国航 CA8210,直飞,17:30-19:50,东方航空 MU2459,直飞,19:25-21:30,3.7,高档型,3
229,武汉,重庆,832,334,武汉-重庆3天2晚 | 入住潼南县鑫轩假日酒店 + 华夏航空/东方航空往返机票,潼南县鑫轩假日酒店 舒适型 3.9分/5分,普通双人间(无窗)(双... 双床 不含早 1间2晚,华夏航空 G52910,经停,17:55-00:25,东方航空 MU2540,直飞,23:10-00:35,3.9,舒适型,3
230,厦门,九寨沟,1968,514,厦门-九寨沟3天2晚 | 入住松潘天马大酒店 + 中国国航/成都航空往返机票,松潘天马大酒店 舒适型 3.2分/5分,豪华标准间-不含早 双床 不含早 1间2晚,中国国航 CA4540,直飞,21:25-00:15,成都航空 EU2735,经停,07:30-11:30,3.2,舒适型,3
231,上海,呼和浩特,1447,426,上海-呼和浩特3天2晚 | 入住星程酒店呼和浩特海拉尔大街店 + 春秋航空/东方...,星程酒店呼和浩特海拉尔大街店 舒适型 4.5分/5分,大床房(内宾)(提前1... 大床 不含早 1间2晚,春秋航空 9C8705,直飞,06:30-09:35,东方航空 MU5690,直飞,21:05-23:45,4.5,舒适型,3
232,南京,西宁,2010,526,南京-西宁3天2晚 | 入住锦江之星品尚酒店西宁火车站店 + 海南航空/东方航空...,锦江之星品尚酒店西宁火车站店 舒适型 4.8分/5分,商务标准房C 其他 不含早 1间2晚,海南航空 HU7592,经停,16:55-21:20,东方航空 MU2896,经停,21:30-01:50,4.8,舒适型,3
233,哈尔滨,西安,2254,460,哈尔滨-西安3天2晚 | 入住西安君乐城堡酒店 + 天津航空/东方航空往返机票,西安君乐城堡酒店 4.3分/5分,高级客房(双床)[无早] 双床 不含早 1间2晚,天津航空 GS7584,经停,12:30-17:40,东方航空 MU2211,经停,08:45-13:25,4.3,无,3
234,武汉,三亚,1671,492,武汉-三亚3天2晚 | 入住三亚新兴花园大酒店 + 南方航空/东方航空往返机票,三亚新兴花园大酒店 3.0分/5分,商务标准间限量特惠(双... 双床 不含早 1间2晚,南方航空 CZ6762,直飞,20:35-23:00,东方航空 MU2528,直飞,23:30-01:55,3,无,3
235,南京,苏州,2805,898,南京-苏州3天2晚 | 入住维也纳酒店苏州蠡口家具城店 + 东方航空往返机票,维也纳酒店苏州蠡口家具城店 舒适型 4.3分/5分,豪华双床房 双床 双床 不含早 1间2晚,东方航空 MU2881,直飞,07:35-08:30,东方航空 MU2882,直飞,22:50-23:55,4.3,舒适型,3
236,深圳,厦门,1324,356,深圳-厦门3天2晚 | 入住厦门成功大酒店 + 海南航空往返机票,厦门成功大酒店 高档型 4.0分/5分,豪华房(双床)[双早] 双床 双早 1间2晚,海南航空 HU7065,直飞,07:30-08:40,海南航空 HU7066,直飞,15:30-16:40,4,高档型,3
237,南京,昆明,1153,334,南京-昆明3天2晚 | 入住昆明驻下酒店 + 祥鹏航空/四川航空往返机票,昆明驻下酒店 舒适型 0.0分/5分,豪华标间(双床) 双床 双早 1间2晚,祥鹏航空 8L9884,直飞,21:50-00:40,四川航空 3U8227,直飞,11:20-14:10,0,舒适型,3
238,南京,陵水,1792,498,南京-陵水3天2晚 | 入住陵水瀚海之冠海景度假酒店 + 首都航空/东方航空往返...,陵水瀚海之冠海景度假酒店 舒适型 4.8分/5分,花园大床房(不含早(预... 大床 不含早 1间2晚,首都航空 JD5126,直飞,11:05-14:10,东方航空 MU2728,经停,19:10-23:50,4.8,舒适型,3
239,上海,神农架,1104,348,上海-神农架3天2晚 | 入住神农架萧六生态旅游农庄 + 东方航空/南方航空往返...,神农架萧六生态旅游农庄 经济型 0.0分/5分,景观家庭房-不含早（预... 大/双床 不含早 1间2晚,东方航空 MU2544,直飞,21:40-23:45,南方航空 CZ6171,直飞,22:40-00:15,0,经济型,3
240,武汉,西双版纳,3389,776,武汉-西双版纳3天2晚 | 入住西双版纳金凤酒店 + 华夏航空往返机票,西双版纳金凤酒店 4.2分/5分,豪华标准间(双床) 双床 双早 1间2晚,华夏航空 G55069,经停,14:20-19:10,华夏航空 G55070,经停,20:10-00:30,4.2,无,3
241,济南,厦门,2697,620,济南-厦门3天2晚 | 入住厦门未派名典酒店 + 山东航空/厦门航空往返机票,厦门未派名典酒店 舒适型 3.5分/5分,标准房 大/双床 双早 1间2晚,山东航空 SC1152,直飞,21:10-23:25,厦门航空 MF8571,直飞,09:00-11:15,3.5,舒适型,3
242,西安,丽江,1133,368,西安-丽江3天2晚 | 入住Q居丽江古城佳家客栈 + 祥鹏航空/长龙航空往返机票,Q居丽江古城佳家客栈 经济型 4.9分/5分,特惠标间-【Q居特惠】 双床 不含早 1间2晚,祥鹏航空 8L9840,直飞,22:35-00:55,长龙航空 GJ8840,经停,14:30-18:25,4.9,经济型,3
243,北京,神农架,1758,494,北京-神农架3天2晚 | 入住神农架龙锦大酒店 + 中国国航/东方航空往返机票,神农架龙锦大酒店 舒适型 4.7分/5分,豪华标间[无早](双床) 双床 不含早 1间2晚,中国国航 CA8212,直飞,19:25-21:45,东方航空 MU2455,直飞,18:00-19:55,4.7,舒适型,3
244,北京,西安,1175,398,北京-西安3天2晚 | 入住7天优品酒店西安北门安远门地铁站店 + 东方航空/海...,7天优品酒店西安北门安远门地铁站店 经济型 4.3分/5分,精选特优房(内宾)(预... 大床 不含早 1间2晚,东方航空 MU2120,直飞,21:15-23:25,海南航空 HU7738,直飞,23:05-00:55,4.3,经济型,3
245,天津,重庆,1541,402,天津-重庆3天2晚 | 入住重庆薇斯顿风情酒店 + 华夏航空往返机票,重庆薇斯顿风情酒店 高档型 4.5分/5分,薇薇情怀奢享大床房(今... 大床 不含早 1间2晚,华夏航空 G52656,经停,17:25-22:10,华夏航空 G52785,经停,07:25-11:10,4.5,高档型,3
246,天津,九寨沟,2020,508,天津-九寨沟3天2晚 | 入住马尔康豪廷名人酒店 + 天津航空往返机票,马尔康豪廷名人酒店 高档型 3.8分/5分,商务标间(双床) 双床 不含早 1间2晚,天津航空 GS7887,直飞,19:10-22:05,天津航空 GS7888,直飞,23:15-01:50,3.8,高档型,3
247,武汉,呼和浩特,1975,542,武汉-呼和浩特3天2晚 | 入住呼和浩特北国风光酒店 + 首都航空/深圳航空往返...,呼和浩特北国风光酒店 舒适型 4.2分/5分,标准双人房(内宾)(双... 双床 双早 1间2晚,首都航空 JD5339,直飞,13:35-15:35,深圳航空 ZH9128,直飞,13:55-15:50,4.2,舒适型,3
248,厦门,北京,1204,356,厦门-北京3天2晚 | 入住北京焦庄国际酒店 + 联合航空/山东航空往返机票,北京焦庄国际酒店 高档型 4.1分/5分,大床房(内宾)(预付) 大床 不含早 1间2晚,联合航空 KN5926,直飞,11:25-14:10,山东航空 SC1152,经停,19:20-23:25,4.1,高档型,3
249,深圳,沈阳,2343,556,深圳-沈阳3天2晚 | 入住沈阳龙之梦瑞峰国际酒店 + 深圳航空/厦门航空往返机票,沈阳龙之梦瑞峰国际酒店 高档型 4.6分/5分,豪华双床房 双床 不含早 1间2晚,深圳航空 ZH9609,经停,17:10-22:25,厦门航空 MF8070,经停,15:25-21:20,4.6,高档型,3
250,上海,重庆,1653,478,上海-重庆3天2晚 | 入住重庆乐普生酒店 + 四川航空/吉祥航空往返机票,重庆乐普生酒店 4.1分/5分,豪华标间-含双早 双床 双早 1间2晚,四川航空 3U8974,直飞,18:35-21:25,吉祥航空 HO1248,直飞,21:10-23:45,4.1,无,3
251,厦门,太原,1721,442,厦门-太原3天2晚 | 入住山西饭店 + 山东航空往返机票,山西饭店 豪华型 4.6分/5分,晋盛楼标间（无窗）[无... 双床 不含早 1间2晚,山东航空 SC4811,直飞,17:45-20:20,山东航空 SC4812,直飞,21:05-23:45,4.6,豪华型,3
252,深圳,长春,2332,522,深圳-长春3天2晚 | 入住长春海航长白山宾馆 + 深圳航空/厦门航空往返机票,长春海航长白山宾馆 4.2分/5分,湖景套房[双早](大床) 大床 双早 1间2晚,深圳航空 ZH9645,经停,17:00-22:45,厦门航空 MF8044,经停,17:25-23:50,4.2,无,3
253,青岛,海口,1689,452,青岛-海口3天2晚 | 入住海口禧福源酒店 + 青岛航/山东航空往返机票,海口禧福源酒店 舒适型 4.0分/5分,豪华房(错峰出游) 大/双床 不含早 1间2晚,青岛航 QW9785,经停,06:45-13:05,山东航空 SC4884,经停,19:05-00:05,4,舒适型,3
254,重庆,西安,948,340,重庆-西安3天2晚 | 入住布丁酒店西安大雁塔南店 + 首都航空/西部航空往返机票,布丁酒店西安大雁塔南店 经济型 4.0分/5分,特惠大床房A 大床 不含早 1间2晚,首都航空 JD5102,直飞,10:45-12:05,西部航空 PN6222,直飞,23:50-01:20,4,经济型,3
255,哈尔滨,三亚,1891,456,哈尔滨-三亚3天2晚 | 入住三亚铂金海景大酒店 + 首都航空/福州往返机票,三亚铂金海景大酒店 舒适型 4.3分/5分,山景双人房 其他 双早 1间2晚,首都航空 JD5532,经停,18:35-01:00,福州 FU6656,经停,16:05-22:35,4.3,舒适型,3
256,天津,桂林,1568,486,天津-桂林3天2晚 | 入住Q居桂林觉知十号客栈 + 奥凯航空往返机票,Q居桂林觉知十号客栈 经济型 4.2分/5分,禅居舒适大床房-【体验... 大床 不含早 1间2晚,奥凯航空 BK2917,直飞,10:30-13:20,奥凯航空 BK2820,直飞,11:35-14:30,4.2,经济型,3
257,深圳,九寨沟,1706,468,深圳-九寨沟3天2晚 | 入住五悦景区连锁酒店阿坝九寨沟店 + 成都航空往返机票,五悦景区连锁酒店阿坝九寨沟店 舒适型 4.5分/5分,豪华标间(双床) 双床 双早 1间2晚,成都航空 EU2202,经停,20:20-01:05,成都航空 EU2201,经停,15:05-19:00,4.5,舒适型,3
258,青岛,丽江,2405,566,青岛-丽江3天2晚 | 入住丽江束河欣忆古田园客栈 + 青岛航往返机票,丽江束河欣忆古田园客栈 经济型 4.9分/5分,特惠大床房105-标准... 大床 不含早 1间2晚,青岛航 QW9834,经停,06:35-12:00,青岛航 QW9833,经停,12:45-18:25,4.9,经济型,3
259,青岛,九寨沟,1903,448,青岛-九寨沟3天2晚 | 入住若尔盖大藏酒店圣地店 + 东方航空/山东航空往返机票,若尔盖大藏酒店圣地店 高档型 3.9分/5分,豪华房[双早] 其他 双早 1间2晚,东方航空 MU2006,直飞,20:30-23:45,山东航空 SC4714,直飞,21:40-00:25,3.9,高档型,3
260,沈阳,长沙,1827,488,沈阳-长沙3天2晚 | 入住长沙那年二月青年旅舍 + 海南航空/四川航空往返机票,长沙那年二月青年旅舍 经济型 4.7分/5分,阳光大床房 大床 不含早 1间2晚,海南航空 HU7330,经停,19:10-23:40,四川航空 3U8929,直飞,11:00-13:55,4.7,经济型,3
261,青岛,大连,974,328,青岛-大连3天2晚 | 入住全季酒店大连和平广场店 + 华夏航空/山东航空往返机票,全季酒店大连和平广场店 舒适型 4.8分/5分,高级大床房(内宾)(提... 大床 不含早 1间2晚,华夏航空 G54837,直飞,10:30-11:30,山东航空 SC4626,直飞,23:05-00:15,4.8,舒适型,3
262,济南,西安,1025,328,济南-西安3天2晚 | 入住西安申鹏商务酒店 + 华夏航空往返机票,西安申鹏商务酒店 舒适型 4.2分/5分,标准间-预付专享 双床 不含早 1间2晚,华夏航空 G54963,直飞,07:10-08:55,华夏航空 G58858,直飞,23:10-00:55,4.2,舒适型,3
263,济南,厦门,2645,604,济南-厦门3天2晚 | 入住厦门亿宝酒店 + 山东航空/厦门航空往返机票,厦门亿宝酒店 舒适型 4.0分/5分,惠选房(预付) 大/双床 双早 1间2晚,山东航空 SC1152,直飞,21:10-23:25,厦门航空 MF8571,直飞,09:00-11:15,4,舒适型,3
264,武汉,桂林,1023,342,武汉-桂林3天2晚 | 入住桂林北桂商务酒店中山南路南溪山公园火车站店 + 山东...,桂林北桂商务酒店中山南路南溪山公园火车... 高档型 4.5分/5分,豪华标准间(内宾)(双... 双床 双早 1间2晚,山东航空 SC8731,直飞,09:55-11:25,南方航空 CZ3263,直飞,08:30-10:00,4.5,高档型,3
265,杭州,长沙,1140,356,杭州-长沙3天2晚 | 入住长沙摩天商务酒店 + 成都航空/厦门航空往返机票,长沙摩天商务酒店 舒适型 3.8分/5分,豪华双人间(双床) 双床 不含早 1间2晚,成都航空 EU2206,直飞,20:30-22:15,厦门航空 MF8454,直飞,22:20-23:55,3.8,舒适型,3
266,天津,广州,1535,438,天津-广州3天2晚 | 入住逸米酒店广州番禺富华东路店 + 海南航空/奥凯航空往...,逸米酒店广州番禺富华东路店 经济型 3.9分/5分,日式榻榻米 大床 不含早 1间2晚,海南航空 HU7201,直飞,20:15-23:25,奥凯航空 BK2787,直飞,06:55-10:00,3.9,经济型,3
267,武汉,三亚,1587,500,武汉-三亚3天2晚 | 入住三亚金福山酒店 + 南方航空/东方航空往返机票,三亚金福山酒店 舒适型 3.9分/5分,温馨情侣蜜月房(预付)... 大床 不含早 1间2晚,南方航空 CZ6762,直飞,20:35-23:00,东方航空 MU2528,直飞,23:30-01:55,3.9,舒适型,3
268,厦门,三亚,1242,354,厦门-三亚3天2晚 | 入住三亚椰子岛主题酒店 + 山东航空往返机票,三亚椰子岛主题酒店 舒适型 4.0分/5分,高级标准房-预付 双床 不含早 1间2晚,山东航空 SC4959,直飞,10:15-12:25,山东航空 SC4960,直飞,13:35-15:45,4,舒适型,3
269,厦门,武汉,998,336,厦门-武汉3天2晚 | 入住武汉嘉年华时尚酒店 + 山东航空/南方航空往返机票,武汉嘉年华时尚酒店 舒适型 4.3分/5分,情侣大圆床（无窗）-今... 大床 双早 1间2晚,山东航空 SC4797,直飞,07:00-08:45,南方航空 CZ6548,直飞,21:10-22:40,4.3,舒适型,3
270,上海,太原,1470,438,上海-太原3天2晚 | 入住全季酒店太原五一路店 + 春秋航空往返机票,全季酒店太原五一路店 舒适型 4.7分/5分,双床房(预付) 双床 不含早 1间2晚,春秋航空 9C8733,直飞,14:45-17:25,春秋航空 9C8734,直飞,18:10-20:25,4.7,舒适型,3
271,重庆,呼和浩特,1358,392,重庆-呼和浩特3天2晚 | 入住呼和浩特九月久大酒店 + 西部航空往返机票,呼和浩特九月久大酒店 舒适型 4.0分/5分,标准双人间[无早](双... 双床 不含早 1间2晚,西部航空 PN6275,直飞,12:45-15:15,西部航空 PN6276,直飞,22:20-00:40,4,舒适型,3
272,厦门,重庆,1408,382,厦门-重庆3天2晚 | 入住秀山县星乐大酒店 + 西藏航空/西部航空往返机票,秀山县星乐大酒店 舒适型 4.3分/5分,电脑经济房-含双早（预... 大床 双早 1间2晚,西藏航空 TV9870,直飞,22:10-00:45,西部航空 PN6291,直飞,06:20-08:45,4.3,舒适型,3
273,西安,武汉,1155,356,西安-武汉3天2晚 | 入住武汉国豪大酒店 + 东方航空往返机票,武汉国豪大酒店 舒适型 4.0分/5分,标准双人房(双床) 双床 不含早 1间2晚,东方航空 MU4746,直飞,20:10-21:40,东方航空 MU2461,直飞,08:05-09:40,4,舒适型,3
274,西安,呼和浩特,850,334,西安-呼和浩特3天2晚 | 入住呼和浩特大兴安岭酒店 + 瑞丽航空/天津航空往返...,呼和浩特大兴安岭酒店 舒适型 4.5分/5分,标准房(双床) 双床 双早 1间2晚,瑞丽航空 DR5319,直飞,09:45-11:30,天津航空 GS7656,直飞,23:05-00:50,4.5,舒适型,3
275,重庆,天津,1363,342,重庆-天津3天2晚 | 入住希岸.轻雅酒店天津五大道西康路地铁站店 + 华夏航空...,希岸.轻雅酒店天津五大道西康路地铁站店 舒适型 4.5分/5分,希岸大床房(内宾)(预... 大床 不含早 1间2晚,华夏航空 G52655,经停,19:55-23:45,华夏航空 G52656,经停,17:25-22:10,4.5,舒适型,3
276,沈阳,承德,2191,562,沈阳-承德3天2晚 | 入住承德丽都酒店 + 南方航空往返机票,承德丽都酒店 舒适型 0.0分/5分,高级双床间-安心睡眠 双床 双早 1间2晚,南方航空 CZ6101,直飞,08:00-09:40,南方航空 CZ6110,直飞,22:10-23:40,0,舒适型,3
277,成都,西宁,1263,322,成都-西宁3天2晚 | 入住西宁绿洲假日酒店 + 四川航空/成都航空往返机票,西宁绿洲假日酒店 舒适型 4.3分/5分,标准大床房 大床 双早 1间2晚,四川航空 3U8987,直飞,08:25-10:20,成都航空 EU2282,直飞,23:55-01:25,4.3,舒适型,3
278,重庆,三亚,1483,436,重庆-三亚3天2晚 | 入住三亚芒果海景酒店 + 西部航空/南方航空往返机票,三亚芒果海景酒店 舒适型 4.1分/5分,温馨翠景房-春季特卖 双床 不含早 1间2晚,西部航空 PN6213,直飞,07:10-09:45,南方航空 CZ6227,直飞,07:50-10:15,4.1,舒适型,3
279,成都,厦门,2083,544,成都-厦门3天2晚 | 入住厦门今晓酒店 + 四川航空/山东航空往返机票,厦门今晓酒店 高档型 3.7分/5分,标准大床房(不含早-预... 大床 不含早 1间2晚,四川航空 3U8869,直飞,08:00-10:40,山东航空 SC4763,经停,06:15-10:15,3.7,高档型,3
280,成都,鼓浪屿,2005,534,成都-鼓浪屿3天2晚 | 入住厦门佳橙酒店火车站店 + 四川航空/山东航空往返机票,厦门佳橙酒店火车站店 经济型 3.8分/5分,精品大床房b(无窗)-... 大床 不含早 1间2晚,四川航空 3U8869,直飞,08:00-10:40,山东航空 SC4763,经停,06:15-10:15,3.8,经济型,3
